customer_id,initial_loan,days_since_last_loan,on_time_payment_pct,increases_2023,total_profit,risk_category,eligible,remaining_increase_slots,exposure,capital_required,took_increases,profit_per_increase_observed,default_proxy,default_prob,loss_given_default,uptake_probability,expected_profit,uptake_p,ev_profit,incremental_exposure
21332,516,12,99.13,0,0,prime,False,6,516,77.39999999999999,0,0.0,0,0.03,77.39999999999999,0.5084667213877948,19.461479135943858,0.5084667213877948,19.461479135943858,816
6614,524,29,96.85,0,0,prime,False,6,524,78.6,0,0.0,0,0.03,78.6,0.5082340186880934,19.44656024812684,0.5082340186880934,19.44656024812684,824
18243,508,79,99.52,0,0,prime,True,6,508,76.2,0,0.0,0,0.03,76.2,0.507851035512424,19.443921561692022,0.507851035512424,19.443921561692022,808
17462,512,96,97.53,0,0,prime,True,6,512,76.8,0,0.0,0,0.03,76.8,0.5076358941355681,19.43268193869661,0.5076358941355681,19.43268193869661,812
20013,501,3,96.03,0,0,prime,False,6,501,75.14999999999999,0,0.0,0,0.03,75.14999999999999,0.50853731412066,19.431357451368882,0.50853731412066,19.431357451368882,801
5482,515,94,97.68,0,0,prime,True,6,515,77.25,0,0.0,0,0.03,77.25,0.5076492487845315,19.430941172244083,0.5076492487845315,19.430941172244083,815
17210,555,3,96.72,0,0,prime,False,6,555,83.25,0,0.0,0,0.03,83.25,0.5083905360574349,19.42924450408218,0.5083905360574349,19.42924450408218,855
12201,527,88,97.95,0,0,prime,True,6,527,79.05,0,0.0,0,0.03,79.05,0.5076768710904286,19.422989992469493,0.5076768710904286,19.422989992469493,827
3797,524,99,99.7,0,0,prime,True,6,524,78.6,0,0.0,0,0.03,78.6,0.5076138956514985,19.422832477948205,0.5076138956514985,19.422832477948205,824
24418,517,116,99.71,0,0,prime,True,6,517,77.55,0,0.0,0,0.03,77.55,0.5074706813447423,19.422605468981374,0.5074706813447423,19.422605468981374,817
19633,513,0,95.92,0,0,prime,False,6,513,76.95,0,0.0,0,0.03,76.95,0.5085285005388798,19.413568793802757,0.5085285005388798,19.413568793802757,813
13778,529,121,99.22,0,0,prime,True,6,529,79.35,0,0.0,0,0.03,79.35,0.507377137310527,19.410022083802527,0.507377137310527,19.410022083802527,829
7091,548,79,97.02,0,0,prime,True,6,548,82.2,0,0.0,0,0.03,82.2,0.5076831852812097,19.407466563675612,0.5076831852812097,19.407466563675612,848
